measurement_noise,process_noise,synthetic_measurement_noise_std_m,safe_zone_pull_gain,safe_zone_progress_gain,target_response_gain,target_velocity_gain,mpc_guidance_blend,max_steps,redirect_success_rate,tracking_precision_ratio,mean_tracking_error_m,score
0.12,0.05,0.04,1.8,2.8,0.55,1.05,0.55,220,0.0,0.9349171365762018,0.3392685459309232,1.5305657272214803
0.08,0.03,0.04,1.8,2.8,0.55,1.05,0.55,220,0.0,0.9349171365762018,0.33961035416603064,1.5302239189863729
0.08,0.03,0.08,2.4,1.6,0.55,1.05,0.55,220,0.0,0.9328817775260388,0.3375997387341336,1.528163816317944
0.12,0.05,0.08,2.4,1.6,0.55,1.05,0.55,220,0.0,0.9315659880523547,0.33729266395179075,1.5258393121529186
0.12,0.03,0.08,2.4,1.6,0.55,1.05,0.55,220,0.0,0.9327843116390993,0.33984283356279876,1.5257257897153997
0.08,0.05,0.04,1.8,2.8,0.55,1.05,0.55,220,0.0,0.9318630353545609,0.33863529838646106,1.5250907723226608
0.08,0.05,0.08,2.4,1.6,0.55,1.05,0.55,220,0.0,0.9258642336663897,0.336818975275525,1.5149094920572543
0.12,0.03,0.04,1.8,2.8,0.55,1.05,0.55,220,0.0,0.925501962013468,0.34194088913078097,1.5090630348961551
0.08,0.05,0.04,2.4,2.2,0.55,1.05,0.55,220,0.0,0.9231865789162422,0.3444965858737508,1.5018765719587337
0.08,0.05,0.04,3.0,1.6,0.55,1.05,0.55,220,0.0,0.9159084487839347,0.34751979214461487,1.4842971054232545
0.12,0.05,0.04,2.4,2.2,0.55,1.05,0.55,220,0.0,0.9099912534484885,0.34559447565536033,1.4743880312416167
0.12,0.03,0.08,1.8,2.2,0.55,1.05,0.55,220,0.0,0.9019274209322156,0.3422511935238027,1.4616036483406285
0.08,0.03,0.04,2.4,2.2,0.55,1.05,0.55,220,0.0,0.9033751515309683,0.3460665264817495,1.460683776580187
0.08,0.03,0.08,1.8,2.2,0.55,1.05,0.55,220,0.0,0.8970403092807125,0.3403699528167489,1.4537106657446761
0.12,0.05,0.04,3.0,1.6,0.55,1.05,0.55,220,0.0,0.898403626518848,0.34875557371139915,1.4480516793262967
0.12,0.05,0.08,1.8,2.2,0.55,1.05,0.55,220,0.0,0.8934603977593101,0.34011385322852067,1.4468069422900995
0.08,0.03,0.04,3.0,1.6,0.55,1.05,0.55,220,0.0,0.8953426363470834,0.3492777156498628,1.4414075570443041
0.12,0.03,0.04,2.4,2.2,0.55,1.05,0.55,220,0.0,0.8910247819110951,0.3491276459087795,1.4329219179134107
0.08,0.05,0.08,1.8,2.2,0.55,1.05,0.55,220,0.0,0.8827800597263454,0.3398002814155899,1.425759838037101
0.12,0.03,0.04,3.0,1.6,0.55,1.05,0.55,220,0.0,0.8848415800413978,0.35257324399120443,1.4171099160915912
0.08,0.05,0.08,2.4,2.8,0.55,1.05,0.55,220,0.0,0.8789816379968496,0.36239993511009067,1.3955633408836086
0.12,0.05,0.08,2.4,2.8,0.55,1.05,0.55,220,0.0,0.8700530665682781,0.36425982718811295,1.3758463059484431
0.08,0.03,0.08,2.4,2.8,0.55,1.05,0.55,220,0.0,0.8693689096567826,0.3649504495136835,1.3737873697998817
0.12,0.03,0.04,1.8,1.6,0.55,1.05,0.55,220,0.0,0.8528981180061606,0.34729879945683306,1.358497436555488
0.12,0.05,0.04,1.8,1.6,0.55,1.05,0.55,220,0.0,0.850653424096285,0.3462752383982625,1.3550316097943074
0.08,0.03,0.04,1.8,1.6,0.55,1.05,0.55,220,0.0,0.8497402024284305,0.346367152111902,1.353113252744959
0.12,0.03,0.08,2.4,2.8,0.55,1.05,0.55,220,0.0,0.8574878882126721,0.3690015840262106,1.3459741923991335
0.08,0.05,0.04,1.8,1.6,0.55,1.05,0.55,220,0.0,0.8447409943821803,0.3463129333126082,1.3431690554517524
0.08,0.05,0.08,3.0,2.2,0.55,1.05,0.55,220,0.0,0.8521113567667445,0.3731410731653209,1.3310816403681682
0.12,0.05,0.08,3.0,2.2,0.55,1.05,0.55,220,0.0,0.8454879556206599,0.37539531020052097,1.3155806010407989
0.08,0.03,0.08,3.0,2.2,0.55,1.05,0.55,220,0.0,0.8392833351586138,0.37620279470527124,1.3023638756119562
0.12,0.03,0.08,3.0,2.2,0.55,1.05,0.55,220,0.0,0.8148608929143893,0.38071146592933885,1.2490103198994398
0.08,0.05,0.04,3.0,2.8,0.55,1.05,0.55,220,0.0,0.7820999567828774,0.39503087652244306,1.1691690370433117
0.12,0.05,0.04,3.0,2.8,0.55,1.05,0.55,220,0.0,0.775715089104851,0.3984449323908879,1.1529852458188141
0.08,0.03,0.04,3.0,2.8,0.55,1.05,0.55,220,0.0,0.772124583437666,0.3995816972281254,1.1446674696472066
0.12,0.03,0.04,3.0,2.8,0.55,1.05,0.55,220,0.0,0.7609600571922619,0.40548307654840726,1.1164370378361166
