profile,spoof_enabled,target_id,rmse,ekf_success_rate,mission_success_probability
nominal,False,Target_1,3.900309887158864,0.325,0.41947850050803126
nominal,False,Target_2,5.423839044162143,0.32083333333333336,0.3755054598051921
nominal,False,Target_3,2.769213607132242,0.3458333333333333,0.4191531387289648
nominal,True,Target_1,3.900309887158864,0.325,0.41947850050803126
nominal,True,Target_2,5.423839044162143,0.32083333333333336,0.3755054598051921
nominal,True,Target_3,2.769213607132242,0.3458333333333333,0.4191531387289648
moderate,False,Target_1,7.204408029565376,0.42083333333333334,0.4135093654856712
moderate,False,Target_2,6.040952300716314,0.25416666666666665,0.3630240479981398
moderate,False,Target_3,1.8976633122621902,0.7083333333333334,0.6452530563898671
moderate,False,Target_4,4.317376924007546,0.3875,0.4243833587523077
moderate,False,Target_5,7.395843462354322,0.325,0.3840370263999472
moderate,True,Target_1,7.204408029565376,0.42083333333333334,0.4135093654856712
moderate,True,Target_2,6.040952300716314,0.25416666666666665,0.3630240479981398
moderate,True,Target_3,1.8976633122621902,0.7083333333333334,0.6452530563898671
moderate,True,Target_4,4.317376924007546,0.3875,0.4243833587523077
moderate,True,Target_5,7.395843462354322,0.325,0.3840370263999472
dense,False,Target_1,7.832847893109621,0.42083333333333334,0.4135073826948481
dense,False,Target_2,6.420992163495784,0.2875,0.37307642230260696
dense,False,Target_3,1.6514150373202,0.8291666666666667,0.7226464671446968
dense,False,Target_4,4.573586725456051,0.3958333333333333,0.4367498077782402
dense,False,Target_5,4.932613928018359,0.3375,0.3837446191577445
dense,False,Target_6,2.092379568912135,0.32083333333333336,0.5205412489396212
dense,False,Target_7,6.3390419245036655,0.5541666666666667,0.4491106685066055
dense,False,Target_8,3.626441357839764,0.20416666666666666,0.38108682044118614
dense,True,Target_1,7.832847893109621,0.42083333333333334,0.4135073826948481
dense,True,Target_2,6.420992163495784,0.2875,0.37307642230260696
dense,True,Target_3,1.6514150373202,0.8291666666666667,0.7226464671446968
dense,True,Target_4,4.573586725456051,0.3958333333333333,0.4367498077782402
dense,True,Target_5,4.932613928018359,0.3375,0.3837446191577445
dense,True,Target_6,2.092379568912135,0.32083333333333336,0.5205412489396212
dense,True,Target_7,6.3390419245036655,0.5541666666666667,0.4491106685066055
dense,True,Target_8,3.626441357839764,0.20416666666666666,0.38108682044118614
stress,False,Target_1,6.439786306735247,0.44166666666666665,0.42172611775350777
stress,False,Target_2,4.894014583502339,0.2708333333333333,0.38467773679621414
stress,False,Target_3,1.8107138768716957,0.8208333333333333,0.7328465232460566
stress,False,Target_4,4.655490614871564,0.4166666666666667,0.43980301573801933
stress,False,Target_5,2.5532474283858524,0.2708333333333333,0.4955767465234101
stress,False,Target_6,2.648923048558936,0.20416666666666666,0.47173082706730923
stress,False,Target_7,5.3282762165510285,0.625,0.47981261773126865
stress,False,Target_8,2.3056747782329525,0.3,0.5353726584995853
stress,False,Target_9,2.0741766417249075,0.5958333333333333,0.6403948518545853
stress,False,Target_10,4.629081762894731,0.24583333333333332,0.38462437025522317
stress,True,Target_1,6.439786306735247,0.44166666666666665,0.42172611775350777
stress,True,Target_2,4.894014583502339,0.2708333333333333,0.38467773679621414
stress,True,Target_3,1.8107138768716957,0.8208333333333333,0.7328465232460566
stress,True,Target_4,4.655490614871564,0.4166666666666667,0.43980301573801933
stress,True,Target_5,2.5532474283858524,0.2708333333333333,0.4955767465234101
stress,True,Target_6,2.648923048558936,0.20416666666666666,0.47173082706730923
stress,True,Target_7,5.3282762165510285,0.625,0.47981261773126865
stress,True,Target_8,2.3056747782329525,0.3,0.5353726584995853
stress,True,Target_9,2.0741766417249075,0.5958333333333333,0.6403948518545853
stress,True,Target_10,4.629081762894731,0.24583333333333332,0.38462437025522317
spoof_heavy,False,Target_1,6.879946807947424,0.37083333333333335,0.40283227409613265
spoof_heavy,False,Target_2,3.2445873348310106,0.0875,0.4303070995358529
spoof_heavy,False,Target_3,1.9668879432718869,0.8375,0.7478335316556378
spoof_heavy,False,Target_4,4.69800164759655,0.4125,0.4609615225707988
spoof_heavy,False,Target_5,2.9928601527135994,0.25416666666666665,0.4890772925270522
spoof_heavy,False,Target_6,3.0679286558179784,0.13333333333333333,0.450288005882274
spoof_heavy,True,Target_1,6.879946807947424,0.37083333333333335,0.40283227409613265
spoof_heavy,True,Target_2,3.2445873348310106,0.0875,0.4303070995358529
spoof_heavy,True,Target_3,1.9668879432718869,0.8375,0.7478335316556378
spoof_heavy,True,Target_4,4.69800164759655,0.4125,0.4609615225707988
spoof_heavy,True,Target_5,2.9928601527135994,0.25416666666666665,0.4890772925270522
spoof_heavy,True,Target_6,3.0679286558179784,0.13333333333333333,0.450288005882274
